Date,Open,High,Low,Close,Adj Close,Volume
2019-08-26,226000.000000,241500.000000,224500.000000,240000.000000,240000.000000,45749
2019-09-02,237500.000000,251500.000000,233000.000000,240000.000000,240000.000000,75022
2019-09-09,239000.000000,248000.000000,239000.000000,244500.000000,244500.000000,41323
2019-09-16,244500.000000,250000.000000,244500.000000,247000.000000,247000.000000,52733
2019-09-23,248500.000000,262000.000000,247000.000000,250000.000000,250000.000000,57806
2019-09-30,252000.000000,254000.000000,243500.000000,245500.000000,245500.000000,32521
2019-10-07,246000.000000,254500.000000,242500.000000,243500.000000,243500.000000,57424
2019-10-14,246500.000000,256000.000000,244000.000000,252500.000000,252500.000000,65025
2019-10-21,254000.000000,254500.000000,244500.000000,247000.000000,247000.000000,54287
2019-10-28,246500.000000,248500.000000,236000.000000,244000.000000,244000.000000,47185
2019-11-04,244500.000000,254000.000000,242000.000000,243500.000000,243500.000000,75062
2019-11-11,245500.000000,252000.000000,241500.000000,245000.000000,245000.000000,57053
2019-11-18,243500.000000,247500.000000,232500.000000,233500.000000,233500.000000,84613
2019-11-25,235000.000000,240000.000000,232000.000000,234500.000000,234500.000000,53420
2019-12-02,235000.000000,237500.000000,228000.000000,233500.000000,233500.000000,33901
2019-12-09,232500.000000,235500.000000,229500.000000,235000.000000,235000.000000,39686
2019-12-16,235000.000000,237000.000000,230500.000000,231500.000000,231500.000000,42757
2019-12-23,234000.000000,239500.000000,231000.000000,237500.000000,237500.000000,44232
2019-12-30,237500.000000,242000.000000,234500.000000,235500.000000,235500.000000,34063
2020-01-06,234500.000000,237000.000000,222500.000000,224000.000000,224000.000000,73180
2020-01-13,225500.000000,227000.000000,223000.000000,223500.000000,223500.000000,70425
2020-01-20,223500.000000,229000.000000,223000.000000,227000.000000,227000.000000,54144
2020-01-27,227000.000000,237000.000000,226500.000000,231000.000000,231000.000000,98355
2020-02-03,234000.000000,241000.000000,228500.000000,232500.000000,232500.000000,109267
2020-02-10,232500.000000,272000.000000,228000.000000,257000.000000,257000.000000,286492
2020-02-17,261500.000000,286000.000000,257500.000000,281500.000000,281500.000000,265906
2020-02-24,293000.000000,301000.000000,257000.000000,264000.000000,264000.000000,387011
2020-03-02,266500.000000,279000.000000,255500.000000,269500.000000,269500.000000,235450
2020-03-09,269500.000000,269500.000000,233000.000000,244000.000000,244000.000000,126605
2020-03-16,250000.000000,273000.000000,247000.000000,262000.000000,262000.000000,215201
2020-03-23,256500.000000,275000.000000,250000.000000,266000.000000,266000.000000,269574
2020-03-30,263500.000000,308500.000000,263500.000000,297000.000000,297000.000000,312127
2020-04-06,304500.000000,324000.000000,284500.000000,289500.000000,289500.000000,344276
2020-04-13,287500.000000,295000.000000,283000.000000,288500.000000,288500.000000,128684
2020-04-20,288500.000000,306000.000000,277500.000000,305000.000000,305000.000000,221650
2020-04-27,307000.000000,310000.000000,295500.000000,295500.000000,295500.000000,95526
2020-05-04,291500.000000,305500.000000,288500.000000,297000.000000,297000.000000,95656
2020-05-11,299500.000000,337000.000000,296000.000000,325000.000000,325000.000000,275893
2020-05-18,330000.000000,342000.000000,305000.000000,321500.000000,321500.000000,312967
2020-05-25,324000.000000,336000.000000,315500.000000,315500.000000,315500.000000,189142
2020-06-01,314500.000000,327500.000000,314000.000000,320500.000000,320500.000000,157526
2020-06-08,326500.000000,346000.000000,312000.000000,342000.000000,342000.000000,308127
2020-06-15,344500.000000,383500.000000,340000.000000,369500.000000,369500.000000,347990
2020-06-22,364500.000000,390000.000000,363000.000000,378500.000000,378500.000000,182369
2020-06-29,374000.000000,383500.000000,362000.000000,366000.000000,366000.000000,138646
2020-07-06,370000.000000,388500.000000,367500.000000,383500.000000,383500.000000,144928
2020-07-13,389000.000000,401500.000000,367000.000000,370500.000000,370500.000000,156009
2020-07-20,373000.000000,383000.000000,365500.000000,367000.000000,367000.000000,153946
2020-07-27,367000.000000,369500.000000,359000.000000,369000.000000,369000.000000,145286
2020-08-03,370000.000000,386000.000000,365000.000000,376500.000000,376500.000000,181338
2020-08-10,376500.000000,392000.000000,370500.000000,370500.000000,370500.000000,237586
2020-08-17,370500.000000,378500.000000,360500.000000,361000.000000,361000.000000,139963
2020-08-24,362000.000000,376500.000000,357000.000000,364000.000000,364000.000000,166966
2020-08-31,365500.000000,367500.000000,346500.000000,347500.000000,347500.000000,146439
2020-09-07,349000.000000,353500.000000,340500.000000,345000.000000,345000.000000,143025
2020-09-14,346000.000000,346500.000000,331500.000000,333500.000000,333500.000000,138529
2020-09-21,338000.000000,338500.000000,308000.000000,310500.000000,310500.000000,108184
2020-09-28,311000.000000,320000.000000,311000.000000,314000.000000,314000.000000,28599
